timestamp,reason,side,price,qty,strategy,symbol,exchange,fee_cost,slippage_pnl,realized_pnl,realized_pnl_total,equity_after
176,order,buy,2515.811556,0.83978325,mean_reversion,ETHUSDT,okx_spot,1.6901891239081897,0.0,-1.6901891239081897,-1.6901891239081897,9998.309810876093
199,order,sell,2506.5393209999997,0.60602085,mean_reversion,ETHUSDT,okx_spot,1.2152120718966744,0.0,-6.834379807996646,-8.524568931904835,9989.307931161133
209,order,buy,2505.770552,0.02705807,mean_reversion,ETHUSDT,okx_spot,0.054241051999963714,0.0,-0.054241051999963714,-8.578809983904799,9989.073980822646
214,order,buy,2503.630338,1.07199303,mean_reversion,ETHUSDT,okx_spot,2.1470994176260354,0.0,-2.1470994176260354,-10.725909401530835,9986.368669783642
220,close,sell,2505.390000001,1.33281349,mean_reversion,ETHUSDT,okx_spot,2.671374071769946,0.0,-3.2314936120281064,-13.957403013558942,9986.04259698224
245,order,buy,2508.2007949999997,0.69530229,mean_reversion,ETHUSDT,okx_spot,1.3951662052346563,0.0,-1.3951662052346563,-15.352569218793597,9984.647430805115
248,order,buy,2507.799999999,0.68552429,mean_reversion,ETHUSDT,okx_spot,1.3753262515690519,0.0,-1.3753262515690519,-16.72789547036265,9982.993430867522
267,stop_loss,sell,2509.14906,1.38082658,mean_reversion,ETHUSDT,okx_spot,3.464699715230015,-1.6971187164149624,-0.18343675151983008,-16.911332221882482,9981.39154907318
287,order,buy,2502.5052525958085,1.60056719,mean_reversion,ETHUSDT,okx_spot,3.204342240086011,0.0,-3.204342240086011,-20.115674461968492,9978.187206766655
290,order,sell,2500.9498799999997,0.7438361,mean_reversion,ETHUSDT,okx_spot,1.4882374440277344,0.0,-2.6451797552856133,-22.760854217254106,9974.209490961997
294,order,buy,2498.599835,0.56403947,mean_reversion,ETHUSDT,okx_spot,1.12744714134039,0.0,-1.12744714134039,-23.888301358594497,9971.068687182757
298,order,sell,2499.15006,1.20871274,mean_reversion,ETHUSDT,okx_spot,2.4166036133550115,0.0,-4.598039474751349,-28.486340833345846,9969.43382705628
302,order,buy,2500.239999999,0.29328514,mean_reversion,ETHUSDT,okx_spot,0.5866265907466454,0.0,-0.5866265907466454,-29.072967424092493,9969.078330776552
307,close,sell,2501.780000001,0.50534297,mean_reversion,ETHUSDT,okx_spot,1.0114055483896842,0.0,-0.38476045652377033,-29.457727880616265,9968.845153402974
320,order,buy,2494.5026005088143,2.02318643,mean_reversion,ETHUSDT,okx_spot,4.037475048759315,0.0,-4.037475048759315,-33.49520292937558,9964.807678354215
