timestamp,reason,side,price,qty,strategy,symbol,exchange,fee_cost,slippage_pnl,realized_pnl,realized_pnl_total,equity_after
186,order,buy,2445.01,2.19136639,breakout_vol,ETHUSDT,okx_spot,4.286330189771121,0.0,-4.286330189771121,-4.286330189771121,9995.71366981023
193,order,sell,2445.28,2.19136639,breakout_vol,ETHUSDT,okx_spot,5.358504406139201,-0.0,-4.766835480839241,-9.053165670610362,9990.946834329388
222,order,buy,2460.762236754308,4.05685698,breakout_vol,ETHUSDT,okx_spot,7.986368365037702,0.0,-7.986368365037702,-17.039534035648064,9982.96046596435
242,order,sell,2475.700000001,4.05685698,breakout_vol,ETHUSDT,okx_spot,8.034848660312045,0.0,52.565520432616644,35.52598639696858,10035.525986396966
259,order,buy,2467.41,1.46620699,breakout_vol,ETHUSDT,okx_spot,2.89418703135672,0.0,-2.89418703135672,32.631799365611855,10032.631799365608
271,order,sell,2467.76,1.46620699,breakout_vol,ETHUSDT,okx_spot,3.6182469616424004,-0.0,-3.105074515141867,29.52672485046999,10029.526724850468
294,order,buy,2428.62,2.94740739,breakout_vol,ETHUSDT,okx_spot,5.72650602840144,0.0,-5.72650602840144,23.80021882206855,10023.800218822067
297,order,sell,2428.0,2.94740739,breakout_vol,ETHUSDT,okx_spot,7.15630514292,-4.126370346000268,-4.857327378719411,18.94289144334914,10014.816521097346
345,order,buy,2436.42,4.09907397,breakout_vol,ETHUSDT,okx_spot,7.989652641589921,0.0,-7.989652641589921,10.95323880175922,10006.826868455755
352,order,sell,2435.4,4.09907397,breakout_vol,ETHUSDT,okx_spot,9.982884746538,-0.0,-14.163940195937926,-3.210701394178706,9992.662928259817
364,order,buy,2439.71,2.64681158,breakout_vol,ETHUSDT,okx_spot,5.165962143873441,0.0,-5.165962143873441,-8.376663538052146,9987.496966115945
365,order,sell,2440.53,2.64681158,breakout_vol,ETHUSDT,okx_spot,6.459623065337401,-17.786573817600676,13.497336247863707,5.120672709811561,9983.207728546207
372,order,buy,2459.01,2.40266054,breakout_vol,ETHUSDT,okx_spot,4.72653303557232,0.0,-4.72653303557232,0.39413967423924134,9978.481195510634
373,order,sell,2437.99,1.45226239,breakout_vol,ETHUSDT,okx_spot,3.5406011841961,-6.070456790199763,-27.996699831796974,-27.602560157557733,9924.436669775638
382,order,sell,2459.97,0.95039814,breakout_vol,ETHUSDT,okx_spot,2.3379509124558,-0.0,-1.425568698056197,-29.02812885561393,9942.988470200184
413,order,buy,2481.58,3.94792215,breakout_vol,ETHUSDT,okx_spot,7.837667719197601,0.0,-7.837667719197601,-36.865796574811526,9935.150802697086
437,order,sell,2619.79,3.94792216,breakout_vol,ETHUSDT,okx_spot,8.27418159643712,0.0,537.3681403628638,500.50234378805226,10472.51894283425
439,order,buy,2594.45,2.00017614,breakout_vol,ETHUSDT,okx_spot,4.1514855891384,0.0,-4.1514855891384,496.35085819891384,10468.367457245111
442,order,sell,2594.79,2.00017614,breakout_vol,ETHUSDT,okx_spot,5.1900370463106,-24.362145385199675,19.85216822648937,516.2030264254032,10463.8574800864
471,order,buy,2634.21,3.93171169,breakout_vol,ETHUSDT,okx_spot,8.285563400731922,0.0,-8.285563400731922,507.9174630246713,10455.571916685669
472,order,sell,2647.71,2.00017614,breakout_vol,ETHUSDT,okx_spot,5.2958863676394,-105.84932132880016,127.55581285116081,635.4732758758321,10503.354138133029
482,order,buy,2663.429999999,0.00614526,breakout_vol,ETHUSDT,okx_spot,0.013093975873435082,0.0,-0.013093975873435082,635.4601818999587,10533.704783001223
484,order,sell,2677.400000001,0.63700427,breakout_vol,ETHUSDT,okx_spot,1.3644121859989098,0.0,26.088771176301343,661.54895307626,10559.409771734801
489,order,buy,2676.1,1.32591323,breakout_vol,ETHUSDT,okx_spot,2.8386211158424004,0.0,-2.8386211158424004,658.7103319604175,10554.880271115657
501,order,sell,2732.190000001,1.79216942,breakout_vol,ETHUSDT,okx_spot,3.917237894105274,0.0,133.69962992267958,792.4099618830971,10698.288453423478
510,order,buy,2809.01,2.15129513,breakout_vol,ETHUSDT,okx_spot,4.83440762649704,0.0,-4.83440762649704,787.5755542566001,10757.554217083149
511,order,sell,2813.83,2.50764521,breakout_vol,ETHUSDT,okx_spot,5.644869857003441,0.0,114.09247185388185,901.668026110482,10766.300495839743
530,order,sell,2817.000000001,0.47807026,breakout_vol,ETHUSDT,okx_spot,1.0773791379363826,0.0,23.265440506318022,924.9334666167999,10766.738599458185
567,order,buy,2829.519316102419,3.26573326,breakout_vol,ETHUSDT,okx_spot,7.392364272326499,0.0,-7.392364272326499,917.5411023444734,10759.346235311054
570,order,sell,2839.0,3.26573326,breakout_vol,ETHUSDT,okx_spot,9.271416725140002,-24.754258110799764,46.44422675191812,963.9853290963915,10781.0362034126
586,order,buy,2881.14,3.738943,breakout_vol,ETHUSDT,okx_spot,8.617934588016,0.0,-8.617934588016,955.3673945083755,10772.418269245984
592,order,sell,2890.800000001,3.738943,breakout_vol,ETHUSDT,okx_spot,8.646829139522993,0.0,27.47136076042375,982.8387552687992,10799.8896295868
603,order,buy,2907.39,3.6711093,breakout_vol,ETHUSDT,okx_spot,8.538677174181599,0.0,-8.538677174181599,974.3000780946177,10791.35095257852
604,order,sell,2915.54,3.6711093,breakout_vol,ETHUSDT,okx_spot,10.703266008522,-139.2451757489994,158.46145079797847,1132.761528892596,10810.567227446498
632,order,buy,2898.66,3.70495163,breakout_vol,ETHUSDT,okx_spot,8.59151607345264,0.0,-8.59151607345264,1124.1700128191435,10801.975711204244
633,order,sell,2905.69,0.06783371,breakout_vol,ETHUSDT,okx_spot,0.1971037328099,-1.9047705767999952,2.184537823691839,1126.3545506428354,10827.824417500637
635,order,sell,2898.9,3.63711792,breakout_vol,ETHUSDT,okx_spot,10.543641138288002,-3.273406128000331,-6.397326795188939,1119.9572238476464,10792.584745617647
653,order,buy,2930.2,0.02751162,breakout_vol,ETHUSDT,okx_spot,0.0644916391392,0.0,-0.0644916391392,1119.8927322085071,10792.520254291509
654,order,sell,2931.59,0.02751162,breakout_vol,ETHUSDT,okx_spot,0.08065279007580001,-0.8993548578000016,0.8569435349240975,1120.7496757434312,10792.477842667133
