

2025-09-14 04:17:00,483 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:17:00,483 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:18:00,575 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:18:00,576 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:18:00,576 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:18:00,576 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:19:00,564 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:19:00,565 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:19:00,565 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:19:00,565 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:30:00,769 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.188779104, price=4658.71, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.188779104) via paper reason=None
2025-09-14 04:30:00,769 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-6 tid=trade-6 reason=None
2025-09-14 04:30:00,770 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4658.71, "qty": 0.188779104, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 04:30:00,770 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.188779104, "locked": 0.0}
2025-09-14 04:30:00,770 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4658.71, "qty": 0.188779104, "fee": 0.65960032469688, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 05:07:00,744 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.138811721, price=4668.49, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.138811721) via paper reason=None
2025-09-14 05:07:00,745 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-7 tid=trade-7 reason=None
2025-09-14 05:07:00,745 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4668.49, "qty": 0.138811721, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 05:07:00,745 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.32759082500000003, "locked": 0.0}
2025-09-14 05:07:00,746 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4668.49, "qty": 0.138811721, "fee": 0.4860308485284675, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 05:08:00,884 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.13237704, price=4671.54, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.13237704) via paper reason=None
2025-09-14 05:08:00,884 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-8 tid=trade-8 reason=None
2025-09-14 05:08:00,885 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4671.54, "qty": 0.13237704, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 05:08:00,885 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.32759082500000003, "locked": 618.4059612120001}
2025-09-14 05:09:01,042 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.11260542300000001, price=4670.7, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.11260542300000001) via paper reason=None
2025-09-14 05:09:01,042 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-9 tid=trade-10 reason=None
2025-09-14 05:09:01,043 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.7, "qty": 0.11260542300000001, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 05:09:01,043 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.45996786500000003, "locked": 525.94727526033}
2025-09-14 05:22:00,514 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.09780208600000001, price=4676.09, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.09780208600000001) via paper reason=None
2025-09-14 05:22:00,514 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-10 tid=trade-12 reason=None
