

2025-09-14 03:19:00,891 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 03:19:00,891 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 03:19:00,892 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 03:19:00,893 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 03:25:00,707 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=2.138900177, price=4675.3, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=2.138900177) via paper reason=None
2025-09-14 03:25:00,709 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-1 tid=trade-1 reason=None
2025-09-14 03:25:00,710 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.0016029723747541524, price=4675.3, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.0016029723747541524) via paper reason=None
2025-09-14 03:25:00,711 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-2 tid=trade-2 reason=insufficient_cash
2025-09-14 03:25:00,711 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4675.3, "qty": 2.138900177, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:25:00,712 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.137297204625246, "locked": 7.494376743688089}
2025-09-14 03:25:00,712 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4675.3, "qty": 2.137297204625246, "fee": 7.494379215588309, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:32:00,750 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:32:00,750 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 03:33:01,081 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:33:01,082 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 03:37:03,546 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:37:03,547 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 03:39:02,374 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:39:02,376 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 03:40:01,186 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:40:01,187 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 03:45:02,681 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 03:45:02,682 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:06:02,385 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:06:02,385 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:07:02,706 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:07:02,707 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:08:00,867 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:08:00,867 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:09:00,720 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:09:00,721 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:10:00,522 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:10:00,523 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:11:00,935 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:11:00,936 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:12:01,267 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:12:01,268 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:13:00,791 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:13:00,792 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:15:00,637 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:15:00,640 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:16:01,474 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:16:01,475 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:17:00,551 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:17:00,551 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:18:02,573 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:18:02,573 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:19:00,542 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:19:00,543 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:20:00,639 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:20:00,639 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:21:01,248 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:21:01,248 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:22:01,191 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:22:01,192 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:23:00,541 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:23:00,542 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:26:04,606 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:26:04,606 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:27:01,120 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:27:01,121 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:28:02,062 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:28:02,063 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:29:01,863 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:29:01,863 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:30:00,654 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:30:00,655 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:31:00,582 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:31:00,584 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:32:01,293 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:32:01,293 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:33:01,638 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:33:01,639 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:35:00,810 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:35:00,810 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:36:01,174 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:36:01,174 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:37:03,586 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:37:03,586 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:38:01,106 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:38:01,106 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:56:02,950 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:56:02,950 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:57:00,999 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:57:00,999 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 04:59:02,974 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 04:59:02,974 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:00:00,833 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:00:00,834 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:03:00,892 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:03:00,892 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:05:00,582 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:05:00,582 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:06:01,578 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:06:01,578 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:07:00,775 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:07:00,775 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:08:02,846 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:08:02,846 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:09:03,635 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:09:03,635 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:10:04,798 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:10:04,798 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:11:10,285 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:11:10,285 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:12:07,435 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:12:07,435 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:22:01,127 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:22:01,127 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:35:01,475 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:35:01,475 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:36:03,584 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:36:03,584 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:37:00,593 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:37:00,593 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:38:00,966 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:38:00,967 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
