timestamp,reason,side,price,qty,strategy,symbol,exchange,fee_cost,slippage_pnl,realized_pnl,realized_pnl_total,equity_after
149,order,buy,3262.3494285714287,1.01380975,mean_reversion,ETHUSDT,okx_spot,2.645921326874115,0.0,-2.645921326874115,-2.645921326874115,9997.354078673126
150,order,sell,3325.13,0.25851411,mean_reversion,ETHUSDT,okx_spot,0.6876744180674401,0.0,15.541989130081129,12.896067803207014,10060.313959679916
155,order,sell,3589.95,0.75529564,mean_reversion,ETHUSDT,okx_spot,2.1691788662544003,0.0,245.26610439525393,258.16217219846095,10258.162172198461
278,order,buy,3828.8802857142855,0.87726387,mean_reversion,ETHUSDT,okx_spot,2.687150669769936,0.0,-2.687150669769936,255.475021528691,10255.475021528691
279,order,sell,3882.4,0.18977367,mean_reversion,ETHUSDT,okx_spot,0.5894218371264001,0.0,9.567210760225061,265.04223228891607,10301.836511367146
280,order,buy,3868.24,0.05771856,mean_reversion,ETHUSDT,okx_spot,0.17861539402752002,0.0,-0.17861539402752002,264.86361689488854,10291.923034741118
282,order,sell,3769.06,0.74520875,mean_reversion,ETHUSDT,okx_spot,2.808736491275,-0.0,-49.65912283315828,215.20449406173026,10215.204493433042
1722,order,buy,4371.093,0.78712131,mean_reversion,ETHUSDT,okx_spot,2.752464358633464,0.0,-2.752464358633464,212.4520297030968,10212.452035094739
1723,order,sell,4439.400000001,0.21848195,mean_reversion,ETHUSDT,okx_spot,0.775943015064175,0.0,14.147905040367046,226.59993474346385,10265.441988085702
1727,order,buy,4400.989999998999,0.06326824,mean_reversion,ETHUSDT,okx_spot,0.22275431324602937,0.0,-0.22275431324602937,226.3771804302178,10243.377795569619
1728,order,sell,4422.4,0.02959465,mean_reversion,ETHUSDT,okx_spot,0.10470350412799999,0.0,1.3251217753548272,227.70230220557264,10256.802233996223
1729,order,sell,4452.53,0.01959425,mean_reversion,ETHUSDT,okx_spot,0.069795188762,0.0,1.4672491132175913,229.16955131879024,10274.880128292261
1730,order,sell,4467.15,0.00926453,mean_reversion,ETHUSDT,okx_spot,0.0331088361516,0.0,0.8290820527502357,229.99863337154048,10283.36636699631
1733,order,sell,4561.540000001,0.57345417,mean_reversion,ETHUSDT,okx_spot,2.092667307697899,0.0,105.40340449330722,335.40203786484767,10335.402039739385
1744,order,buy,4174.311285714286,0.9421876,mean_reversion,ETHUSDT,okx_spot,3.146387465552046,0.0,-3.146387465552046,332.25565039929563,10332.255648401546
1746,order,sell,4141.86,0.9421876,mean_reversion,ETHUSDT,okx_spot,3.902409132936,-0.0,-34.47761013474452,297.7780402645511,10297.77803994004
1783,order,buy,4376.719999999,0.65005774,mean_reversion,ETHUSDT,okx_spot,2.27609656944972,0.0,-2.27609656944972,295.50194369510143,10295.50194571919
1784,order,sell,4429.6,0.65005774,mean_reversion,ETHUSDT,okx_spot,2.8794957651040005,-230.04893360860024,261.54449315943356,557.0464368545349,10326.997503774735
1800,order,buy,4438.889999999,0.64153029,mean_reversion,ETHUSDT,okx_spot,2.2781459111819666,0.0,-2.2781459111819666,554.768290943353,10324.719357956454
1801,order,sell,4490.0,0.29212987,mean_reversion,ETHUSDT,okx_spot,1.3116631162999999,-121.0264838423,134.64557866509213,689.4138696084451,10356.196308473796
1803,order,sell,4381.56,0.34940042,mean_reversion,ETHUSDT,okx_spot,1.5309189042552,-0.0,-21.562044643905377,667.8518249645398,10316.77640694034
