

2025-09-14 03:02:03,891 | INFO | tradingbot.live.runner_paper | Connecting to Binance spot WS in paper mode for ETHUSDT
2025-09-14 03:02:09,187 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [13]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:44749 (Press CTRL+C to quit)
2025-09-14 03:15:01,267 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4675.74, "qty": 0.015103047000000001, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:15:01,267 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.8770750380000001, "locked": 0.0}
2025-09-14 03:15:01,268 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4675.74, "qty": 0.015103047000000001, "fee": 0.052963440734835006, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:16:01,103 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.23113683000000002, price=4673.42, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.23113683000000002) via paper reason=None
2025-09-14 03:16:01,104 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-8 tid=trade-10 reason=None
2025-09-14 03:16:01,105 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4673.42, "qty": 0.23113683000000002, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:16:01,105 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 1.1082118680000002, "locked": 0.0}
2025-09-14 03:16:01,106 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4673.41, "qty": 0.23113683000000002, "fee": 0.810147879517725, "pnl": 0.0, "slippage_bps": -0.021397606036303772, "maker": false}
2025-09-14 03:17:00,980 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.053102232000000006, price=4670.88, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.053102232000000006) via paper reason=None
2025-09-14 03:17:00,982 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-9 tid=trade-12 reason=None
2025-09-14 03:17:00,982 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.88, "qty": 0.053102232000000006, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:17:00,983 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.026110591, "locked": 0.0}
2025-09-14 03:17:00,983 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.88, "qty": 0.053102232000000006, "fee": 0.18602561505312004, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:18:00,596 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.019772877, price=4672.07, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.019772877) via paper reason=None
2025-09-14 03:18:00,598 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-10 tid=trade-13 reason=None
2025-09-14 03:18:00,598 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4672.07, "qty": 0.019772877, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:18:00,599 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.045883468, "locked": 0.0}
2025-09-14 03:18:00,599 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4672.06, "qty": 0.019772877, "fee": 0.06928505078746501, "pnl": 0.0, "slippage_bps": -0.021403788897231386, "maker": false}
2025-09-14 03:19:00,794 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.025806122, price=4670.37, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.025806122) via paper reason=None
2025-09-14 03:19:00,795 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-11 tid=trade-14 reason=None
2025-09-14 03:19:00,796 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.37, "qty": 0.025806122, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:19:00,796 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.045883468, "locked": 120.52439606636001}
2025-09-14 03:21:01,377 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.00775782, price=4670.01, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.00775782) via paper reason=None
2025-09-14 03:21:01,378 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-12 tid=trade-16 reason=None
2025-09-14 03:21:01,378 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.01, "qty": 0.00775782, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:21:01,378 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.07944741, "locked": 0.0}
2025-09-14 03:21:01,378 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.01, "qty": 0.00775782, "fee": 0.027171822733650004, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:22:03,150 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.011200282, price=4670.0, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.011200282) via paper reason=None
2025-09-14 03:22:03,151 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-13 tid=trade-17 reason=None
