timestamp,reason,side,price,qty,strategy,symbol,exchange,fee_cost,slippage_pnl,realized_pnl,realized_pnl_total,equity_after
137,order,buy,2506.730648,3.9852746,trend_following,ETHUSDT,okx_spot,9.990009980515941,1.6712328740587608,-8.31877710645718,-8.31877710645718,9990.009990019484
151,order,sell,2508.939081,3.9852746,trend_following,ETHUSDT,okx_spot,9.998811192456643,8.644383414642622,7.446784162886928,-0.8719929435702518,9988.812390767729
151,order,buy,2507.15,0.00331803,trend_following,ETHUSDT,okx_spot,0.0083187989145,-0.0,-0.0083187989145,-0.8803117424847519,9988.804071968816
151,order,sell,2508.939081,0.00331803,trend_following,ETHUSDT,okx_spot,0.008324735138930431,0.007197075830430019,0.004808565121929214,-0.8755031773628227,9988.801683458107
185,order,buy,2503.3,0.00829697,trend_following,ETHUSDT,okx_spot,0.020769805001,-0.0,-0.020769805001,-0.8962729823638227,9988.780913653107
186,order,sell,2506.77,0.00829697,trend_following,ETHUSDT,okx_spot,0.020798595486900003,-0.0,0.007991890413098328,-0.8882810919507244,9988.788905543519
187,order,buy,2503.5,0.01627006,trend_following,ETHUSDT,okx_spot,0.04073209521,-0.0,-0.04073209521,-0.9290131871607243,9988.748173448308
188,order,sell,2506.77,0.01627006,trend_following,ETHUSDT,okx_spot,0.0407852983062,-0.0,0.012417797893799744,-0.9165953892669246,9988.760591246202
189,order,buy,2498.439819,0.03249694,trend_following,ETHUSDT,okx_spot,0.08119164889165387,0.1650903371461339,0.08389868825448002,-0.8326967010124446,9988.679399597311
190,order,sell,2506.77,0.03249694,trend_following,ETHUSDT,okx_spot,0.08146235428380001,-0.0,0.18924303786233387,-0.6434536631501108,9988.868642635174
202,order,buy,2501.1,0.06889759,trend_following,ETHUSDT,okx_spot,0.17231976234899998,-0.0,-0.17231976234899998,-0.8157734254991107,9988.696322872825
203,order,sell,2506.77,0.06889759,trend_following,ETHUSDT,okx_spot,0.1727104116843,-0.0,0.217938923615705,-0.5978345018834057,9988.91426179644
204,order,buy,2500.370012,0.13714287,trend_following,ETHUSDT,okx_spot,0.3429079195076144,0.15771265478557664,-0.18519526472203776,-0.7830297666054434,9988.571353876932
205,order,sell,2506.77,0.13714287,trend_following,ETHUSDT,okx_spot,0.3437856322299,-0.0,0.5339270900556766,-0.2491026765497668,9989.105280966989
207,order,buy,2502.21,0.27326094,trend_following,ETHUSDT,okx_spot,0.6837562566774001,-0.0,-0.6837562566774001,-0.932858933227167,9988.421524710311
208,order,sell,2506.77,0.27326094,trend_following,ETHUSDT,okx_spot,0.6850023265638,-0.0,0.5610675598361851,-0.3717913733909819,9988.982592270148
233,order,buy,2497.69,0.55369717,trend_following,ETHUSDT,okx_spot,1.3829638845373,-0.0,-1.3829638845373,-1.754755257928282,9987.59962838561
234,order,sell,2506.77,0.55369717,trend_following,ETHUSDT,okx_spot,1.3879914548409,-0.0,3.6395788487590592,1.8848235908307773,9991.239207234368
235,order,buy,2479.34791,1.10674491,trend_following,ETHUSDT,okx_spot,2.744005679511638,21.373557308961786,18.629551629450148,20.514375220280925,9988.495201554857
236,order,sell,2506.77,1.10674491,trend_following,ETHUSDT,okx_spot,2.7743549380407,-0.0,27.574903591021226,48.08927881130215,10016.070105145878
246,order,buy,2484.8484599999997,1.13395469,trend_following,ETHUSDT,okx_spot,2.817705565156277,3.5056662823229967,0.6879607171667197,48.77723952846887,10013.252399580722
247,order,sell,2506.77,1.13395469,trend_following,ETHUSDT,okx_spot,2.8425635982513,-0.0,22.01546949677162,70.79270902524048,10035.267869077494
253,order,buy,2484.668442,2.27165756,trend_following,ETHUSDT,okx_spot,5.644315850362722,12.99742048567787,7.353104635315147,78.14581366055563,10029.623553227131
253,order,sell,2488.43,1.10674491,trend_following,ETHUSDT,okx_spot,2.7540572363913,-0.0,1.4090279337781384,79.55484159433377,10035.414467658818
254,order,sell,2506.77,0.65119443,trend_following,ETHUSDT,okx_spot,1.6323946612911,-0.0,12.760016802630732,92.3148583969645,10055.146570998528
256,order,sell,2488.921083,0.51371822,trend_following,ETHUSDT,okx_spot,1.2786041084792323,3.576035168032334,4.48209022437214,96.79694862133664,10044.698653019881
258,order,buy,2489.17,4.03132931,trend_following,ETHUSDT,okx_spot,10.0346639785727,-0.0,-10.0346639785727,86.76228464276394,10034.663989041308
