timestamp,reason,side,price,qty,strategy,symbol,exchange,fee_cost,slippage_pnl,realized_pnl,realized_pnl_total,equity_after
126,order,buy,2506.2,6.481e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00016242682199999996,-0.0,-0.00016242682199999996,-0.00016242682199999996,9999.999837573178
128,order,sell,2505.98,6.481e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001624125638,-0.0,-0.00017667076379998704,-0.000339097585799987,9999.999660902413
129,order,buy,2502.63,6.608e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00016537379040000002,-0.0,-0.00016537379040000002,-0.000504471376199987,9999.999495528622
130,order,sell,2505.169458,6.608e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00016554159778464002,0.00011824738463998285,0.00012051317149532569,-0.0003839582047046613,9999.99949779441
134,order,buy,2500.55,7.383e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00018461560650000002,-0.0,-0.00018461560650000002,-0.0005685738112046613,9999.999313178803
135,order,sell,2506.899285,7.383e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00018508437421155,0.00022808191155000135,0.0005117652488884352,-5.680856231622612e-05,9999.99959686214
144,order,buy,2511.99,6.392e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001605664008,-0.0,-0.0001605664008,-0.00021737496311622612,9999.99943629574
145,order,sell,2513.08,6.392e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00016063607359999998,-0.0,-9.096327359999068e-05,-0.0003083382367162168,9999.999345332466
146,order,buy,2509.730948,6.534e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00016398582014231998,0.0001482598576800066,-1.572596246231337e-05,-0.00032406419917853016,9999.999181346646
147,order,buy,2507.240699,2.61e-06,scalp_pingpong,ETHUSDT,okx_spot,6.54389822439e-06,6.340475610000322e-06,-2.0342261438967805e-07,-0.0003242676217929198,9999.99901208988
148,order,buy,2507.9407690000003,7e-08,scalp_pingpong,ETHUSDT,okx_spot,1.7555585383000005e-07,1.0774616999998217e-07,-6.780968383001788e-08,-0.00032433543147674987,9999.99905948408
149,order,sell,2507.889186,1.086e-05,scalp_pingpong,ETHUSDT,okx_spot,2.723567655996e-05,9.765159960001083e-06,-3.641433351535118e-05,-0.0003607497649921011,9999.999028739727
150,order,sell,2507.69,5.716e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001433395604,-0.0,-0.00025443300406457776,-0.0006151827690566788,9999.998874014695
152,order,buy,2506.77,4.963e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001244109951,-0.0,-0.0001244109951,-0.0007395937641566789,9999.9987496037
153,order,sell,2510.398935,4.963e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00012459109914405,5.999944405000548e-05,0.00011551238895596451,-0.0006240813752007143,9999.998805116644
156,order,buy,2508.980873,4.618e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00011586473671514,4.891048485999952e-05,-6.695425185514049e-05,-0.0006910356270558548,9999.998689251908
157,order,sell,2511.88,4.618e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001159986184,-0.0,1.7883066460006245e-05,-0.0006731525605958486,9999.998707134975
158,order,buy,2508.73,5.17e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000129701341,-0.0,-0.000129701341,-0.0008028539015958486,9999.998577433635
159,order,sell,2509.87,5.17e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000129760279,-0.0,-7.082227900000659e-05,-0.0008736761805958552,9999.998506611355
160,order,buy,2508.2407989999997,5.164e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00012952555486036,5.159873964000437e-05,-7.792681522035562e-05,-0.0009516029958162108,9999.998377085802
161,order,buy,2507.840759,1.1e-07,scalp_pingpong,ETHUSDT,okx_spot,2.7586248349000003e-07,2.74165099999982e-08,-2.484459734900018e-07,-0.0009518514417897008,9999.998356151873
164,order,sell,2510.03,5.175e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001298940525,-0.0,-3.725889635000572e-05,-0.0009891103381397066,9999.998339551043
165,order,buy,2508.8,4.919e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000123407872,-0.0,-0.000123407872,-0.0011125182101397067,9999.99821614317
166,order,buy,2506.19,4.57e-06,scalp_pingpong,ETHUSDT,okx_spot,1.1453288300000001e-05,-0.0,-1.1453288300000001e-05,-0.0011239714984397067,9999.998076303982
167,order,sell,2509.0,5.376e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00013488384,-0.0,-0.00011220413999999689,-0.0012361756384397036,9999.998092485741
169,order,buy,2505.2505,5.484e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00013738793742,0.00013652417999998243,-8.637574200175558e-07,-0.0012370393958597212,9999.997955097804
170,order,sell,2508.4,5.484e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000137560656,-0.0,3.515792399999928e-05,-0.001201881471859722,9999.997990255728
171,order,buy,2503.8403590000003,6.048e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00015143226491232,7.013508767998413e-05,-8.129717723233588e-05,-0.001283178649092058,9999.997838823463
172,order,sell,2503.84,2.82e-06,scalp_pingpong,ETHUSDT,okx_spot,7.060828800000001e-06,-0.0,-7.061841180000362e-06,-0.0012902404902720582,9999.997831740922
175,order,sell,2499.87,1.42e-06,scalp_pingpong,ETHUSDT,okx_spot,3.5498154e-06,-0.0,-9.187725180000427e-06,-0.0012994282154520586,9999.997599280907
176,order,sell,2502.64,5.624e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00014074847359999998,-0.0,-0.0002082566637600218,-0.0015076848792120803,9999.997614317233
177,order,buy,2498.87,6.849e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001711476063,-0.0,-0.0001711476063,-0.0016788324855120803,9999.997443169626
179,order,sell,2499.71,6.849e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001712051379,-0.0,-0.00011367353789999005,-0.0017925060234120704,9999.99732949609
180,order,buy,2497.8,6.617e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000165279426,-0.0,-0.000165279426,-0.0019577854494120706,9999.997164216664
181,order,sell,2499.94998,1.17e-06,scalp_pingpong,ETHUSDT,okx_spot,2.9249414766e-06,4.726776600000017e-06,4.317311723399743e-06,-0.0019534681376886707,9999.997303555898
182,order,sell,2500.439931,6.5e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000162528595515,9.35955149999927e-05,0.0001026624344849736,-0.0018508057032036972,9999.997172874117
186,order,buy,2501.79,6.779e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001695963441,-0.0,-0.0001695963441,-0.002020402047303697,9999.997003277773
187,order,sell,2503.5,6.779e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000169712265,-0.0,-5.3791364999997485e-05,-0.0020741934123036944,9999.996949486407
188,order,buy,2502.5,6.943e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00017374857500000002,-0.0,-0.00017374857500000002,-0.0022479419873036944,9999.996775737833
189,order,sell,2503.52,6.943e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001738193936,-0.0,-0.00010300079360000126,-0.002350942780903696,9999.99667273704
191,order,buy,2497.4497199999996,7.776e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00019420169022719996,5.756417280003414e-05,-0.0001366375174271658,-0.002487580298330862,9999.996478535348
192,order,sell,2497.5,6.12e-06,scalp_pingpong,ETHUSDT,okx_spot,1.52847e-05,-0.0,-1.4976986399997822e-05,-0.00250255728473086,9999.996467160421
194,order,buy,2494.5,1.9e-06,scalp_pingpong,ETHUSDT,okx_spot,4.73955e-06,-0.0,-4.73955e-06,-0.00250729683473086,9999.99624750087
195,order,sell,2498.840091,7.354e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00018376470029214,9.119629214000887e-05,1.5283943187916057e-05,-0.0024920128915429437,9999.996382906464
196,order,buy,2495.9,7.697e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00019210942300000003,-0.0,-0.00019210942300000003,-0.0026841223145429435,9999.996190797041
197,order,sell,2499.09,7.697e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00019235495730000004,-0.0,5.317934270000435e-05,-0.0026309429718429393,9999.996243976384
199,order,buy,2496.63,7.928e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00019793282640000003,-0.0,-0.00019793282640000003,-0.0028288757982429394,9999.996046043558
200,order,sell,2500.84989,7.928e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001982673792792,0.0001704432792000112,0.00030672877912079927,-0.0025221470191221403,9999.996182329058
206,order,buy,2500.12,6.021e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00015053222520000002,-0.0,-0.00015053222520000002,-0.0026726792443221405,9999.996031796833
207,order,sell,2503.64961,6.021e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001507447430181,8.667891809999413e-05,0.000148451993181897,-0.0025242272511402436,9999.996093569907
210,order,buy,2502.66,5.303e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00013271605979999998,-0.0,-0.00013271605979999998,-0.0026569433109402433,9999.995960853847
211,order,sell,2503.939581,5.303e-05,scalp_pingpong,ETHUSDT,okx_spot,0.00013278391598043,1.270498043001438e-05,-5.222275512040328e-05,-0.002709166066060647,9999.995895926111
215,order,buy,2502.330208,3.317e-05,scalp_pingpong,ETHUSDT,okx_spot,8.300229299936e-05,6.898670063999992e-05,-1.4015592359360084e-05,-0.0027231816584200067,9999.995812923817
216,order,buy,2499.79,1.893e-05,scalp_pingpong,ETHUSDT,okx_spot,4.7321024699999997e-05,-0.0,-4.7321024699999997e-05,-0.002770502683120007,9999.995681344095
217,order,sell,2502.08,5.21e-05,scalp_pingpong,ETHUSDT,okx_spot,0.000130358368,-0.0,-9.530806736000142e-05,-0.0028658107504800083,9999.995670294726
219,order,buy,2499.44992,6.204e-05,scalp_pingpong,ETHUSDT,okx_spot,0.0001550658730368,0.00016192936319999536,6.86349016319537e-06,-0.002858947260316813,9999.995515228853
220,order,buy,2498.029778,1.14e-06,scalp_pingpong,ETHUSDT,okx_spot,2.8477539469200007e-06,2.8160530799999107e-06,-3.170086692008998e-08,-0.002858978961183733,9999.995424275488
